label,text,source
1,"Speaker 2: that's a big issue, but What I try to write in what I try to report in surprise kill vanish is the idea that the people we take out Maybe are bad guys, right one one guy I write about is Che Guevara. Okay, because Che is often Portrayed in the press as You know this amazing hero and that he and we you know I don't know if you know, but he was he was killed by the Bolivian Rangers But it was a CIA operation and I interview the man in charge of that operation in surprise kill vanish His name was Felix Rodriguez. Okay long-serving CIA paramilitary officer. So but I also report Why the president to your question wanted? Che Guevara dead, you know, he was\n",output_1Joe_Rogan__The_Morality_of_CIA_Assassins_wAnnie_Jacobsen.txt
1,"Speaker 2: He's still alive?\nSpeaker 1: Is he still alive? 69 years old.\nSpeaker 2: Getting fucked in jail. Yeah.\nSpeaker 1: Wow. MK Ultra shit is left and right, dude. The second gunman, not Mark David Chapman, may have shot John Lennon. Author claims.\nSpeaker 2: Oh, author claims.\nSpeaker 1: Those authors. You never know. You know the- Nice to believe in authors. The door guy at his apartment building was a CIA, FBI spook.\nSpeaker 2: Jesus Christ.\nSpeaker 1: Yeah. They just load it up. When it's meant to happen, you don't get out of there. There's layers upon layers upon layers. That's why when you talk about any of these things that, even like when you talk about the Trump assassination, there's a lot of stuff I go, that's a little weird. That's a really weird situation right there. Because if you study these high impact events, it's kind of like that scene in John Wick. Do you know where John Wick, the hit goes out on him and he's in the plaza and now every assassin has a flip phone suddenly. They're all on flip phones and it's like, boom, take out John.\n",output_1The_Layers_of_Intelligence_Agencies_Involved_in_Assassinatio.txt
0,"Speaker 2: you don't have to look for instructions you have to\nSpeaker 1: I know my grandson uses Google.\nSpeaker 2: listen to me only just listen to me instead of immediately redeeming the gift card I'm gonna type it wrong on the notepad\nSpeaker 1: So how does it work?\nSpeaker 2: write down the second card number over there\nSpeaker 1: Do you have a hunch about how we're going to take care of the rest of the money? Or are you okay if I buy a boat tarp?\nSpeaker 2: no sir that will not work\nSpeaker 1: Yeah.\nSpeaker 2: if you will do so I'll lose my job\nSpeaker 1: Yeah, but if I don't have a boat tarp, what happens to my boat?\n",output_1828.txt
1,"Speaker 2: Well, I think patience is probably my greatest strength. That translates across the careers.Being able to listen to a student or customer's difficulty and help them overcome that difficulty with patience and compassion is my greatest strength.\nSpeaker 1: Would you consider any weaknesses that you have to be able to overcome? Would you consider any weaknesses that you have to be detrimental to the job?\nSpeaker 2: I think there's a risk when it comes to compassion. I think people can misinterpret compassion as being easy or willing to roll over. It's important to understand that compassion is something that is earned and it's interactive. And I feel like if I establish clear boundaries with customers, clients, students, I understand that I am understanding, I am patient, I am kind, yet I'm also going to hold the people I interact with to a high standard.\nSpeaker 1: To date, what would you say is your greatest professional achievement?\nSpeaker 2: Personally, becoming a teacher, earning a master's degree, those have all been wonderful experiences for me. But the greatest achievement would have to be working with young people and helping them get a little bit better at communicating with the world around them. \n",output_1Job_Interview___Good_Example_copy.txt
0,"Speaker 1: I just got to put something on the door to keep it\nSpeaker 2: Sir, hurry up. Go.\nSpeaker 1: Impatient\nSpeaker 2: Alright, I'll be right back.\nSpeaker 1: Back it's just like 30 seconds All right, I think that'll work okay, I put a big cinder block behind the door\nSpeaker 2: Okay, okay. Because without...\nSpeaker 1: Not that he'll be able to just open the door and come right back in\nSpeaker 2: Okay, sir. Can you verify me the numbers? Oh, yeah.\nSpeaker 1: I'll get that. I just wish I just wish you wouldn't bite me all the time. That's you know, just Five one four. Hey, so you've been bitten by a dog\nSpeaker 2: Yeah, yeah. I can understand, sir. Can you please verify me the numbers? Yeah.\nSpeaker 1: He went through the other door, I can't believe he did that we have two doors to this room\nSpeaker 2: No, no, no. Four, five, one, four.\nSpeaker 1: I think he has to go to the bathroom Definitely do\nSpeaker 2: You know, I think... Do you want the low interest rate or not, sir? Yeah, I do. I do. I do. Just listen to me, sir. Just listen to me. Listen to me. Forget about your dog, whatever he's doing.\n",output_1610.txt
0,"Speaker 2: no no no sir\nSpeaker 1: No.\nSpeaker 2: no no no sir\nSpeaker 1: $2,500 tarps. I...\nSpeaker 2: I don't want gift cards\nSpeaker 1: $2,500.\nSpeaker 2: no no\nSpeaker 1: I don't...\nSpeaker 2: no no\nSpeaker 1: How many employees...\nSpeaker 2: no no no\nSpeaker 1: I'm going to go grab a bite to eat, but I promise I'll take care of it tomorrow. So...\nSpeaker 2: ok\nSpeaker 1: Okay.\nSpeaker 2: you don't have to go inside the bank no sir do one thing\nSpeaker 1: Okay, bye.\nSpeaker 2: just go and get the gift card again\nSpeaker 1: The last time. Call me tomorrow.\nSpeaker 2: listen to me\nSpeaker 1: No. You, you mother... Sorry, I think you got the wrong number, son. I think you got the wrong number, son. You got the wrong...\nSpeaker 2: you too\nSpeaker 1: You...\nSpeaker 2: thank you for watching as always know that you matter and that you are valued\nSpeaker 1: Bye.\n",output_1828.txt
1,"Speaker 2: Sure. That's a great question. I'm not pursuing further educational opportunities within that profession. I feel like this customer service opportunity, the chance to work in a field that I enjoy as much as teaching, is a place that I could grow into long term. So what I get out of teaching is working with people and helping people become a little bit better than they were when I first met them. And that skill translates very well into REI's mission. And so I don't anticipate leaving a successful career for something I've already done. I feel like this is a natural confluence of my two interests. \nSpeaker 1: Chris, what would you identify as your greatest professional strengths?\n",output_1Job_Interview___Good_Example_copy.txt
0,"Speaker 1: No, no. Call me on Skype, ma'am.\nSpeaker 2: I left one card for them to try on their computer. Oh, it doesn't work. And then I'll say, oh, I typed it wrong. It's not a B. It's an 8 or whatever. And then I'll redeem it. Okay, so the last card, do you need me to send that to you? I know I still owe you a little bit more money.\nSpeaker 1: ...\nSpeaker 2: I can get that to you maybe tomorrow or Friday. They're now connected on three different computers. And they just don't know what's going on. I think they're all just sort of stunned. They've got three computers connected to me, trying to figure out why they can't control my screen. I don't know if they're just like lost hope. They're just huddling in silence.\n",output_1550.txt
1,"Speaker 1: prevent them from selling raw milk with armed raids. Right. And it turns out it really pissed off the Amish and it turns out they weren't willing\nSpeaker 2: to drive to the polling places because they don't have cars, but if you came and got them, they would go and they would vote. And that's one of the reasons why Trump won.\nSpeaker 1: Anyway. So like the law enforcement agencies are off working on like crazy things.\nSpeaker 2: Like the system's not working.\nSpeaker 1: And so you, you add up, pick $130 billion programs. All right.\nSpeaker 2: Now you're okay.\nSpeaker 1: Math major. A hundred times a hundred.\nSpeaker 2: 10,000. $10,000.\nSpeaker 1: Okay. $10,000 per taxpayer per year. And, but it's also not just about money. That's really obviously money is a hugely important thing, but it's the cavalier attitude. Yes. That then in sort of in the ripple effect of that, it makes it so nobody wants to work in government and be productive. It makes it so the corruption can, it breeds corruption, it breeds laziness, it breeds secrecy because you don't want to be transparent about having done nothing all year, all this kind of stuff. And you don't want to reverse that. So it will be exciting for the future to work in government because the, the amazing thing, if you're the steel man government is you can do shit at scale. You have money and you can directly impact people's lives in a positive sense at scale. It's super exciting as long as there's no bureaucracy that slows you down or not huge amounts of bureaucracy that slows you down significantly. Yeah.\n",output_1US_debt_is_growing_by_1_trillion_every_100_days__Marc_Andree.txt
1,"Speaker 1: Like I mentioned with SpaceX, you give a lot of people hope, and a lot of people look up to you, millions of people look up to you. If we think about young people in high school, maybe in college, what advice would you give to them about, if they wanna try to do something big in this world, they wanna really have a big positive impact, what advice would you give them about their career, maybe about life in general?\nSpeaker 2: Try to be useful. Do things that are useful to your fellow human beings, to the world.\nSpeaker 1: It's very hard to be useful.\nSpeaker 2: Very hard. Are you contributing more than you consume? Can you try to have a positive net contribution to society? I think that's the thing to aim for. Not to try to be sort of a leader for the sake of being a leader or whatever. A lot of the time, the people you want as leaders are the people who don't want to be leaders. If you can live a useful life, that is a good life,\n",output_1Elon_Musk_Advice_for_Young_People__Lex_Fridman_Podcast_Clips.txt
0,"Speaker 2: Uh, is there someone who could help me with a strange invoice about a balance board, waist twisting board, yoga fitness, Pilates stability disc, anti-skid training balance, gym board, exercise workout equipment charge that I got for $563.42?\nSpeaker 1: Well, ma'am, actually, we have received an order from your PayPal account, and we have also found some suspicious activities from your account that someone tries to send money\nSpeaker 2: Okay, and what was the product's name again?\nSpeaker 1: from your account to someone else's account. So that's why we have sent you this confirmation email to confirm it, whether that was you or not, okay? It's in a balance board with twisting board, board yoga, fitness plate, stability, this\nSpeaker 2: I'll offer $80, that's the most I'm going to pay for that product.\nSpeaker 1: anti-training balance gym for size for my head and fill out this form. Ma'am, ma'am, still not understand.\n",output_1550.txt
1,"Speaker 2: Well, I guess to effectively answer that question, I would need some help. I would need to know what type of limousine because if we're talking about a stretch SUV, that's a much larger volume than a smaller limousine. Are we talking two-door, four-door? I also don't know what's in the limousine already.Are there people in there, or is it empty? Once I had those questions answered, I'd have to do some calculations about the size of a tennis ball, how much area or how much volume it takes up, calculate the inside of the limousine, and then make sure the math works out. I could get that answer to you. I just can't do it off the top of my head. \n",output_1Job_Interview___Good_Example_copy.txt
0,"Speaker 2: Why did you close that page\nSpeaker 1: Oh, sorry. I just want to make sure I don't forget a tarp for my boat.\nSpeaker 2: You The scammers sent $8,000 of my own money to the checking account This is a command prompt, but they call it the banking server to make it seem like something official is happening\nSpeaker 1: Listen, all I know is my iPad says I got $7,900 in my checking and I don't know what's going on.\nSpeaker 2: It's just a trick. First. You need to tell me is this your cell phone or a home phone? You And a fix is okay, do you know any grocery store nearby you know, did you heard about gift card?\n",output_2323.txt
1,"Speaker 1: We here at REI, it is being in customer service, there are aspects of your job that are going to be a little less active than I could expect you being in a teaching position where I assume you're on your feet more one-on-one, face-to-face with individuals. Do you prefer a specific type of work environment? Do you thrive in a variety of work environments? And what does this look like?\nSpeaker 2:  I thrive in a variety of work environments. I wouldn't expect to be sitting in a cubicle interacting with customers unless I'm handling a phone call, and that's fine. That's part of the job. But what I would expect is to be actively engaged with the customers who come into the store and helping show them the products that might best suit their needs and introducing them to products that they might not have considered before. So I'd expect to be up, moving around, and being consistently engaged with a customer or trying to find ways to improve what we offer to our customers. \n",output_1Job_Interview___Good_Example_copy.txt
1,"Speaker 1: really advocating for nuclear war and\nSpeaker 2: I and I show that Guevara was yes I mean he spoke publicly about you know If we have to have an atomic war the Cuban paraphrasing the Cuban people will be happy to have sacrificed themselves for that I mean Che was also Che killed anyone who betrayed him. He killed he writes about it in his diaries as I write in the book Right, so but on the morality question who decides I don't have that answer, but I will tell you what I did I went with my main source Billy Waugh who he's a 89 now and he was He's been with the CIA for 60 years. Okay, I mean he went and He and I went to Cuba for him to do a halo jump with Che Guevara's son So we were a guest of the man Whose father was killed by the CIA Okay, and we had this really interesting discussion in the Cigar Club where Che and Castro, you know smoked cigars and plotted the downfall of the United States and That's what I try to give readers a sense of The long lens of history how time changes all things and And Maybe leave with them them with this idea which they can come to their own conclusions about what you asked me of is it right? Or is it wrong? Because really what you might ask is is it necessary? Mmm, right. I mean I could moralize right wrong, but it would just be my opinion But when you see I went Billy Waugh and I also travel travel to Vietnam Because he was supposed to kill he was tasked to kill the top commander of the North Vietnamese Army a guy named General shop and Waugh didn't kill shop and we had this incredibly this terrible mission that went awry that I write about in the book in the Vietnam War So 50 years later while and I go to visit the son of General shop are sitting there in jobs home talking about these same issues, right and my Conclusion of that Again is not is it right or wrong, but is it necessary? I mean we have these wars. We keep having these wars Is it necessary? Yeah, what do you think well, I mean my opinion is that the Defense Department is far too concerned with Vast weapon systems of the future, which is its mission statement of its science department And so you create what some at the Pentagon call a self-licking ice cream cone or the military industrial complex? Mmm, and there's a lot built into that and there's a lot to be said about that",output_1Joe_Rogan__The_Morality_of_CIA_Assassins_wAnnie_Jacobsen.txt
0,"Speaker 2: to listen to? I don't understand.\nSpeaker 1: I'm going to listen to any music. I'm going to install the security, and I'm going to take the payment through an iTunes card. All right. All right. So, hold on. Hold on. Hello? Yes. Yes, ma'am. Yes. Just give me a moment. All right, so if you can go to any of the stores, which is a 27 store, 24-7,\nSpeaker 2: All right, so I need two iTunes cards for $100 each. What is the 27 store?\nSpeaker 1: and you can purchase an Apple iTunes card, like two cards for $100 each. Okay? $100 each.\n",output_174317.txt
0,"Speaker 1: Close this.\nSpeaker 2: It's kind of hard to hear what you're saying. I'm sorry.\nSpeaker 1: Don't do nothing. Close it. Okay. Close it. What's wrong with you?\nSpeaker 2: I can't hear you.\nSpeaker 1: Ma'am, just close it. Do not do anything. Close it. Exit.\nSpeaker 2: Excel the card that I just sent to you. There's the last one. Okay, what's wrong?\nSpeaker 1: You did a mistake. You did a big mistake.\nSpeaker 2: I know that guy sent me $6,000. It is a pretty big...\nSpeaker 1: You redeemed all the cost. You know, everyone. You redeemed all the cost. Everyone.\nSpeaker 2: It makes mistakes sometimes. It's part of being human. Us are perfect.\n",output_1550.txt
1,"Speaker 2: What?\nSpeaker 1: Yes. Their common ancestor is a Hinckley, and then when you realize that- Hinckley was related to Obama and Bush? They're related to the Bushes. The Bushes had dinner with the Hinckleys the night before Reagan got shot.\nSpeaker 2: And here's the craziest thing- What? What? Yeah.\nSpeaker 1: Is that crazy? Do you think, okay, I always thought Hinckley was a lone nut that was infatuated with Jodie\nSpeaker 2: Foster.\nSpeaker 1: What? So- No, dude. And he actually, there's actually interviews, dude, where he said, Uncle George told me to do it. Oh, Jesus. Okay. Didn't they just let him out?\nSpeaker 2: He's doing, like, plain and coffee beans because he's put out an album or something like that.\nSpeaker 1: He's torn off it, but that's a crazy thing. Barack Obama, the 10th cousin once removed of George W. Bush through Samuel Hinckley of Cape Cod, holy shit. It's so crazy. I've never gone down the Hinckley rabbit hole. So John Hinckley, the guy who killed, or shot, rather, Reagan, what was his deal? Was he MK Ultra? He was like- MK Ultra? Yeah. He was a little off. He was like the one family member that was a little off. A little off. Here's the craziest thing about that thing. The Hinckley that shoots at Reagan, he's the first one that can use the, I'm mentally not capable of defending myself. I'm too mentally ill. What's the law where you can- Yeah. I know what you're talking about. Yeah. Yeah. So, because right around then, John Lennon was also getting assassinated, and his killer tried to use that, I'm not mentally capable. Who killed John Lennon? Do we remember? What was his name? What was it? Dude, and I watched that whole story. Is there a rabbit hole to go down on that one too? That's a crazy story too, because we had this kind of, there was two eras of assassinations where everybody was getting assassinated. Or they were tempted. Chapman. Mark David Chapman. Shot and killed Lennon. Now, is he an MK Ultra guy too, you think? So he had that, what book did he have on the rye, what is it called? Catcher in the Rye. Catcher in the Rye. That's some MK Ultra shit right there.\n",output_1The_Layers_of_Intelligence_Agencies_Involved_in_Assassinatio.txt
1,"Speaker 1: Thank you for calling support, how can I help you?\nSpeaker 2: Thank you. Oh, shot. I keep getting messages on the computer that says my PC's in danger. I tried to register. That way my PC wouldn't be in danger anymore.\nSpeaker 1: Let me connect your computer with us and let me check why you are getting these kind of\nSpeaker 2: A lot of viruses, I think.\nSpeaker 1: things. I got it.\nSpeaker 2: Problem?\nSpeaker 1: How long you are getting problems?\nSpeaker 2: The past six months. I don't know what the heck this thing is. I try to close it out, and it just keeps popping up more.\nSpeaker 1: Leave your mouse.\nSpeaker 2: Don't know what the heck that is. I'm just trying to...\n",output_20250226_170558.txt
1,"Speaker 1: We're what you were saying before about being a competitor. The United States is competitive Yeah, obviously and when you're playing the ultimate game, which is war you have to be very careful about what you reveal what you don't reveal and This is where the conversation about surprise kill vanish comes in because the CIA using these Covert operations to assassinate people and whether or not that should be allowed or not allowed whether it's good or bad Whether it's necessary Whether it's like if you want people to be safe over here there's certain people you got to take out and sometimes you just can't follow the rules and why\nSpeaker 2: Why are we not supposed to know about that? Should we know about that the way the story started for me? I'm at my house in 2009 a source is you know calls me up He says I'm on my way back from the Middle East gonna pop by the house and say hi He brings me a challenge coin that says Kabul Afghanistan State Department. I'm thinking okay He is not a diplomat. I mean he's weapons trained At the time my boys were young there were lots of GI Joe's in the garden and they had little weapons right and the source is Showing them about the weapons and they're like so into it because they know he's military trained and then he says if it's okay with Your mom and dad. I'll show you some weapons boys are like, please so he sets up this sniper rifle in the living room and I live up in the hills and you can Look across the canyon through this scope he set up and I can see the veins on a leaf Across the canyon and I thought okay. So now I know what he was doing in Kabul Afghanistan He's taking out al-qaeda with this there's another case on the ground that he never opens and When the boys go off I say to him what's in that and he said he opens it up and inside There's a knife and it's serrated\n",output_1Joe_Rogan__The_Morality_of_CIA_Assassins_wAnnie_Jacobsen.txt
1,"Speaker 1: Outfits so that if the job went south it'd be like I don't know who these guys are Hmm, and if you look back at Vietnam photos of the Mac V Saug teams, which I also write about\nSpeaker 2: In surprise kill vanish because that's the precursor of that. You see no markings, right? That way you can go into You can go behind enemy lines. You can go into Laos, you know in the Vietnam War you can go Now you can go into Pakistan. What I learned reporting this book is we're in a hundred and thirty four countries Doing title 50 operations. Hmm think about that Government wants that to be kept secret\nSpeaker 1: So in all those countries, they're doing things that don't fall under the normal letter of the law Not yes not under the rules of engagement of the military, but the CIA works at the president's behest\nSpeaker 2: That that was one thing that really blew my mind to report to research to understand I talked to 42 guys who have direct access to this who are in this world You know from the knuckle-draggers on the ground as they call themselves to the lawyer at CIA Senior intelligence staff that's the equivalent of a general at the CIA those guys explaining to me Annie this is how it works, you know and Again to your question. Well, why why does someone get to know that and why does the government want? Why do they allow that information out is super interesting. And I believe that has to do with a Certain climate we're in right now about military might right in other words what the CIA does is called tertia optio It's the third option. You've got the first option is diplomacy Second option is war. So if diplomacy is not working and war is unwise You go to the third option, which is the CIA's paramilitary And they're in a hundred and how many countries hundred and thirty-four. Do you?\n",output_1Joe_Rogan__The_Morality_of_CIA_Assassins_wAnnie_Jacobsen.txt
0,"Speaker 1: You\nSpeaker 2: I've never had a conversation with a scammer like that before.\nSpeaker 1: Guys I\nSpeaker 2: Her admitting she's not a diva?\nSpeaker 1: Hi there, is this the financial relief phone? Yes, it is. Are you struggling with any credit card or personal loan debt both? How much in total do you uh, do you think you owe right now nine hundred thirty thousand dollars\nSpeaker 2: Please don't be judgmental. I'm really embarrassed. I need to take a look at your credit report.\nSpeaker 1: First okay\nSpeaker 2: You're going to look at my credit report? That's private.\nSpeaker 1: You\nSpeaker 2: You're going to look at my credit report? That's private.\nSpeaker 1: What do you mean that's private that's how that's how how we can help you I was just expecting to feel relief\nSpeaker 2: But that scared me. I want to relieve you.\n",output_1545.txt
0,"Speaker 2: Sir, no problem. The last four numbers.\nSpeaker 1: I'll let the dog in and then I'll come\nSpeaker 2: Okay, okay, listen to me. Have a good day today and you're not getting any kind of little interest. Oh, come on. And we are canceling all the credit cards of yours and you're not cooperating with me right now.\nSpeaker 1: I'm sorry. I've got a dog but\nSpeaker 2: I don't care about whatever you are doing. I don't care about anything, sir. Just verify me the last four numbers.\nSpeaker 1: Just need the last four\nSpeaker 2: Last four numbers. Just last four numbers. Just forget about all the things. Just last four numbers. Give it to me. Hurry up.\nSpeaker 1: It's nine three\nSpeaker 2: Seven.\nSpeaker 1: All right, now that I gave you that I'm gonna go let the dog in one second I just gave it to you\nSpeaker 2: Nine, three, seven. And what is the last digit?\n",output_1610.txt
1,"Speaker 2: that they had really hard childhoods and they just never heard that from a parent that I'm proud of you that I love you. So you find ways to inject that into the conversation. I'm talking to you right now because I want us to learn from this conversation or I'm learning too\nSpeaker 1:  When you're having that you need to de-escalate an argument with a spouse or a kid. Hey I'm learning too.\nSpeaker 2: This is my first time to be a parent. This is your first time to be a kid. I'm learning too. Don't be afraid to apologize. Don't be afraid to own that. I think from a position of strength you can really really own that apology when you need to\nSpeaker 1:  I'm stealing that the best I can but I like I'm learning too\n",output_1Communicate_with_Confidence_The_Blueprint_for_Mastering_Ever.txt
1,"Speaker 2: ...says there are no reports.\nSpeaker 1: No, ma'am.\nSpeaker 2: The computer is just fine.\nSpeaker 1: Drivers are important to do the things which you do on the computer. They need to be restarted. Okay.\nSpeaker 2: Okay, gotta start the drivers.\nSpeaker 1: That's important. That's action item number one. Action item number one.\nSpeaker 2: Never mind. ...piñata that...\nSpeaker 1: Yes.\nSpeaker 2: Uh-oh.\nSpeaker 1: So that is how the things would work.\nSpeaker 2: Are you an idiot?\nSpeaker 1: You are an idiot.\nSpeaker 2: No. Alright. I think you... Ma'am?\nSpeaker 1: These messages, I'm not an idiot, ma'am.\nSpeaker 2: What? Ma'am, I... Uh...\n",output_20250226_170558.txt
1,"Speaker 2: you\nSpeaker 1: to make parts for jet aircraft. Now, this is a messy story. MIT actually stole computer-controlled machining from an inventor who brought it to MIT, wanted to do a joint project with the Air Force, and MIT effectively stole it from him. So it's kind of a messy history. But that sounds like the birth of computer-controlled machining, 1952. There are a number of inventors of 3D printing. One of the companies spun off from my lab by Max Lebowski is Formlabs,\nSpeaker 2: you\nSpeaker 1: which is now a billion-dollar 3D printing company. That's the modern version. But all of that's analog, meaning the information is in the control computer. There's no information in the materials. And so it goes back to Vannevar Bush's analog computer. If you make a mistake in printing or machining, just the mistake accumulates. The real birth of computerized digital manufacturing is four billion years ago. That's the evolutionary age of the ribosome.\n",output_1Claude_Shannon_at_MIT_The_best_masters_thesis_in_history__Ne.txt
0,"Speaker 2: reason I'm telling you you need to just put your user ID and the password to see\nSpeaker 1: It's like a gift, you know, I ought to buy some fish and a large, no, no, no, no, no,\nSpeaker 2: that that you can receive the money yes yes that's the reason I'm telling you put your user ID sir take your time and put a user ID thank you what are you doing sir hold on you give me the one moment sir give me the one moment\nSpeaker 1: I got to get a kid.\nSpeaker 2: leave you did it did you remember what was your last balance of your account\nSpeaker 1: No, not just.\nSpeaker 2: leave leave your mouse\nSpeaker 1: I don't check too often and I've been thinking about doing something like this for a while. It's like arts and crafts for for old men.\nSpeaker 2: okay no not sure leave your mouth just leave\nSpeaker 1: Look at these. That looks like a real winner right there.\nSpeaker 2: Oh\nSpeaker 1: You know, I've been thinking about getting. Island hopper 12. I've been trying to start my own.\n",output_2323.txt
