mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,mfccs_13,mfccs_14,mfccs_15,mfccs_16,mfccs_17,mfccs_18,mfccs_19,mfccs_20,mfccs_21,mfccs_22,mfccs_23,mfccs_24,mfccs_25,mfccs_26,mfccs_27,mfccs_28,mfccs_29,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,source,label
-260.23563,136.72623,-49.32687,18.684013,49.880974,54.81242,-9.819725,-4.973905,3.8222604,9.992925,6.5168204,8.598997,-13.076762,-7.9703064,-4.404735,-2.8937008,-6.709068,-5.025103,5.202172,-11.7724695,-4.863222,-8.608306,6.7673535,-6.8198385,-6.4872866,-2.5365994,-5.428134,-0.884333,-9.085661,-1.03102,1946.1382933704726,2171.2351087950033,2983.157683796965,0.40809357,HMRS_Scam.mp3,0
-228.89621,137.28195,-49.022446,24.505201,35.165157,47.3374,-8.662943,1.6833907,8.438247,14.600688,11.963882,9.027142,-14.223938,-3.8000531,4.6047378,-1.4869742,-9.639606,-4.140901,6.92622,-12.163859,-4.8681226,-8.334264,4.1705117,-10.182896,-5.900783,1.8962872,-5.29839,-5.951694,-9.969461,1.141431,2092.1142156122237,2461.976842929404,3304.537628703035,0.44819525,HMRS_Scam.mp3,0
-236.27588,154.14275,-32.581776,28.450336,32.759674,27.953432,-14.456121,7.1700206,16.150614,11.395444,7.272806,11.218917,-9.598068,-2.7772079,-1.4369094,-2.1712027,-5.1066685,-2.3239539,3.6550074,-13.04668,-0.87181294,-5.6943364,2.1508238,-14.645178,-5.565247,3.651651,-7.184316,-7.649533,-10.60126,3.0436158,1818.1912153490705,2415.6419942476477,3312.6281385476877,0.38531137,HMRS_Scam.mp3,0
-400.96793,75.43267,-21.792236,10.999587,18.60458,22.698902,-3.0224998,1.9672661,4.409592,5.1758947,4.996392,4.4592,-5.697516,1.2696747,0.8489888,-2.2207246,-4.1047997,-2.353553,2.7297347,-5.7086596,-2.7327445,-6.3543353,-0.05724295,-5.3112745,-0.67107546,0.79895645,-4.2976027,-3.2769744,-4.2128544,1.7544202,1050.909405420542,1355.9114877957675,1890.316507857659,0.38649458,HMRS_Scam.mp3,0
-416.91,74.08215,-27.812954,6.5641026,10.009634,18.488485,-2.9222689,1.3972257,2.295152,5.078722,1.4430703,1.2776703,-5.602719,1.6854185,1.4489647,-2.1231275,-3.6655393,-1.9288712,2.3332734,-5.9823847,-0.86933106,-3.6419692,1.0359257,-6.1399827,-1.8180733,1.8383889,-2.7191653,-3.044315,-3.9971628,1.7056823,1658.3179201313123,1360.5712793067387,2547.265907243497,0.42221144,HMRS_Scam.mp3,0
-170.59412,175.88667,-68.6984,6.139592,27.28318,34.186367,-18.618368,0.9499411,12.509409,3.89596,5.694301,10.692071,-9.189929,1.2209003,-2.9990523,-2.393427,-3.0850132,-4.4216676,3.4200306,-14.032955,-6.056019,-9.475871,4.374581,-6.366883,-0.3032859,-1.1584636,-9.840681,-2.61234,-6.7817426,1.6913937,1945.4982393579808,1985.9325149126562,3009.9186009754335,0.4031294,HMRS_Scam.mp3,0
-224.43349,163.52856,-51.109116,15.918045,47.418884,42.060238,-23.582401,-6.273007,20.161072,18.865948,1.2679398,-7.3770447,-20.954203,4.678377,6.112357,-5.970818,-12.313467,-6.0083055,7.992755,-8.570127,-5.590374,-10.535483,4.24456,-7.8712645,-1.8889587,1.4298953,-8.320206,-5.512485,-8.710437,3.1727133,1860.041773132068,1946.0614356304757,2698.247267882948,0.4482768,HMRS_Scam.mp3,0
-374.37277,89.11143,-31.542076,4.846115,14.012241,21.604156,-6.0149026,-3.164119,2.146691,7.480684,5.2319484,-3.0732038,-11.775993,4.228633,4.856054,-5.639393,-7.90741,-2.2422187,3.3608308,-5.4180145,-3.8968372,-5.348221,2.5853238,-5.74534,-1.6626989,2.6727698,-1.3006662,-3.566798,-6.954524,1.3258994,992.7000150648998,1006.0536502806119,1393.6836727781792,0.43943286,HMRS_Scam.mp3,0
-196.73726,169.24147,-48.374386,20.16202,26.065367,26.524826,-14.073101,5.590094,10.963235,2.1648238,5.8565464,10.041974,-14.133086,-2.0734775,0.49885994,-2.527214,-7.5137296,-0.6453763,11.40729,-13.468527,-11.069216,-14.130654,4.0445995,-8.088756,-6.4280577,0.3528517,-6.1280828,-2.0864418,-8.622956,-0.5512247,1860.3228630886933,2161.907373404836,3132.7698812319363,0.45446938,HMRS_Scam.mp3,0
-231.31715,165.8864,-41.794235,11.702351,33.550552,41.114307,-15.326554,4.8641243,12.307443,3.5825248,-1.863164,12.921807,-1.7288209,4.215308,-6.2785335,-10.393589,-6.1904798,1.5340848,9.374999,-17.5529,-9.235453,-10.819926,3.2117293,-10.437255,-3.3782847,1.6994315,-4.6705256,-3.395009,-11.813581,-0.49207553,1766.9255425136807,2238.916457994628,2826.948609104046,0.3786179,HMRS_Scam.mp3,0
